image,status,conflict_method,docling_easyocr_preprocessed__chars,docling_qwen3-vlm-4B_preprocessed__chars,charsim__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,jaccard__docling_easyocr_preprocessed__vs__docling_qwen3-vlm-4B_preprocessed,min_charsim,mean_charsim,min_jaccard,mean_jaccard
pages-2-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,6,39,0.2667,0.0,0.2667,0.2667,0.0,0.0
pages-2-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,373,814,0.2831,0.2056,0.2831,0.2831,0.2056,0.2056
pages-3-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1276,1344,0.2885,0.5588,0.2885,0.2885,0.5588,0.5588
pages-3-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,927,1184,0.1952,0.2655,0.1952,0.1952,0.2655,0.2655
pages-4-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1081,1250,0.1399,0.4286,0.1399,0.1399,0.4286,0.4286
pages-4-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1076,1185,0.0142,0.3354,0.0142,0.0142,0.3354,0.3354
pages-5-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,999,1180,0.0716,0.3702,0.0716,0.0716,0.3702,0.3702
pages-5-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1068,1181,0.249,0.5029,0.249,0.249,0.5029,0.5029
pages-6-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,863,1105,0.064,0.3409,0.064,0.064,0.3409,0.3409
pages-6-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1209,1282,0.0779,0.5824,0.0779,0.0779,0.5824,0.5824
pages-7-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,905,1141,0.0323,0.3224,0.0323,0.0323,0.3224,0.3224
pages-7-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1062,1193,0.306,0.4368,0.306,0.306,0.4368,0.4368
pages-8-a,BLANK,,0,78,0.0,0.0,0.0,0.0,0.0,0.0
pages-8-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1370,1567,0.0436,0.5794,0.0436,0.0436,0.5794,0.5794
pages-9-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3034,4111,0.0235,0.3633,0.0235,0.0235,0.3633,0.3633
pages-9-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3381,4035,0.2767,0.5032,0.2767,0.2767,0.5032,0.5032
pages-10-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3123,4001,0.0879,0.4278,0.0879,0.0879,0.4278,0.4278
pages-10-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3474,4125,0.085,0.4942,0.085,0.085,0.4942,0.4942
pages-11-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1564,1845,0.0428,0.5682,0.0428,0.0428,0.5682,0.5682
pages-11-b,MISSING,docling_easyocr_preprocessed,0,71,0.0,0.0,0.0,0.0,0.0,0.0
pages-12-a,MISSING,docling_easyocr_preprocessed,0,125,0.0,0.0,0.0,0.0,0.0,0.0
pages-12-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1907,3110,0.0279,0.4268,0.0279,0.0279,0.4268,0.4268
pages-13-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1262,1423,0.3933,0.6865,0.3933,0.3933,0.6865,0.6865
pages-13-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3373,3934,0.1681,0.5,0.1681,0.1681,0.5,0.5
pages-14-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1619,2482,0.1136,0.3333,0.1136,0.1136,0.3333,0.3333
pages-14-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1385,1583,0.1206,0.5845,0.1206,0.1206,0.5845,0.5845
pages-15-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1585,2089,0.0272,0.4006,0.0272,0.0272,0.4006,0.4006
pages-15-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1708,1955,0.0202,0.552,0.0202,0.0202,0.552,0.552
pages-16-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1013,1682,0.0631,0.3218,0.0631,0.0631,0.3218,0.3218
pages-16-b,MISSING,docling_easyocr_preprocessed,0,50,0.0,0.0,0.0,0.0,0.0,0.0
pages-17-a,BLANK,,0,206,0.0,0.0,0.0,0.0,0.0,0.0
pages-17-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1410,1636,0.0571,0.6245,0.0571,0.0571,0.6245,0.6245
pages-18-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1143,1817,0.0236,0.3622,0.0236,0.0236,0.3622,0.3622
pages-18-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1021,1731,0.0545,0.3407,0.0545,0.0545,0.3407,0.3407
pages-19-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1802,2367,0.023,0.3944,0.023,0.023,0.3944,0.3944
pages-19-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1663,2541,0.0471,0.3761,0.0471,0.0471,0.3761,0.3761
pages-20-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1322,114,0.0919,0.0258,0.0919,0.0919,0.0258,0.0258
pages-20-b,MATCH,,24,24,1.0,1.0,1.0,1.0,1.0,1.0
pages-21-a,BLANK,,0,149,0.0,0.0,0.0,0.0,0.0,0.0
pages-21-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1529,1726,0.129,0.4359,0.129,0.129,0.4359,0.4359
pages-22-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2316,3774,0.0184,0.3796,0.0184,0.0184,0.3796,0.3796
pages-22-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1969,2425,0.1957,0.5188,0.1957,0.1957,0.5188,0.5188
pages-23-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1518,2607,0.1178,0.3117,0.1178,0.1178,0.3117,0.3117
pages-23-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1553,2405,0.1491,0.3993,0.1491,0.1491,0.3993,0.3993
pages-24-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1516,2041,0.1456,0.4331,0.1456,0.1456,0.4331,0.4331
pages-24-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1703,2497,0.1152,0.3808,0.1152,0.1152,0.3808,0.3808
pages-25-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1758,2562,0.0926,0.378,0.0926,0.0926,0.378,0.378
pages-25-b,MISSING,docling_easyocr_preprocessed,0,46,0.0,0.0,0.0,0.0,0.0,0.0
pages-26-a,BLANK,,0,93,0.0,0.0,0.0,0.0,0.0,0.0
pages-26-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1593,2015,0.1292,0.4184,0.1292,0.1292,0.4184,0.4184
pages-27-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1695,2659,0.1011,0.3794,0.1011,0.1011,0.3794,0.3794
pages-27-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1827,2176,0.1664,0.4926,0.1664,0.1664,0.4926,0.4926
pages-28-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1590,2970,0.0219,0.3207,0.0219,0.0219,0.3207,0.3207
pages-28-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2405,3624,0.0544,0.3745,0.0544,0.0544,0.3745,0.3745
pages-29-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1854,3616,0.0234,0.2637,0.0234,0.0234,0.2637,0.2637
pages-29-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1793,3203,0.0977,0.3214,0.0977,0.0977,0.3214,0.3214
pages-30-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2565,4065,0.0078,0.3413,0.0078,0.0078,0.3413,0.3413
pages-30-b,BLANK,,0,94,0.0,0.0,0.0,0.0,0.0,0.0
pages-31-a,MISSING,docling_easyocr_preprocessed,2,70,0.0,0.0,0.0,0.0,0.0,0.0
pages-31-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3188,3876,0.1399,0.5311,0.1399,0.1399,0.5311,0.5311
pages-32-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2032,3185,0.0303,0.3443,0.0303,0.0303,0.3443,0.3443
pages-32-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2111,3651,0.0902,0.3095,0.0902,0.0902,0.3095,0.3095
pages-33-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2949,3951,0.0672,0.4107,0.0672,0.0672,0.4107,0.4107
pages-33-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3001,3608,0.2218,0.5163,0.2218,0.2218,0.5163,0.5163
pages-34-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2603,3457,0.2267,0.4987,0.2267,0.2267,0.4987,0.4987
pages-34-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2187,2475,0.1214,0.5588,0.1214,0.1214,0.5588,0.5588
pages-35-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3141,4412,0.0527,0.4126,0.0527,0.0527,0.4126,0.4126
pages-35-b,MISSING,docling_easyocr_preprocessed,0,7,0.0,0.0,0.0,0.0,0.0,0.0
pages-36-a,MISSING,docling_easyocr_preprocessed,0,64,0.0,0.0,0.0,0.0,0.0,0.0
pages-36-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2530,3269,0.1887,0.4193,0.1887,0.1887,0.4193,0.4193
pages-37-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1921,3491,0.1482,0.3009,0.1482,0.1482,0.3009,0.3009
pages-37-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2225,3117,0.1011,0.4345,0.1011,0.1011,0.4345,0.4345
pages-38-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1894,2993,0.0282,0.3129,0.0282,0.0282,0.3129,0.3129
pages-38-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1617,3040,0.1202,0.2782,0.1202,0.1202,0.2782,0.2782
pages-39-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1455,61857,0.0072,0.135,0.0072,0.0072,0.135,0.135
pages-39-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2093,3265,0.0295,0.3054,0.0295,0.0295,0.3054,0.3054
pages-40-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2363,3266,0.0735,0.3883,0.0735,0.0735,0.3883,0.3883
pages-40-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,63,93,0.5385,0.4545,0.5385,0.5385,0.4545,0.4545
pages-41-a,MISSING,docling_easyocr_preprocessed,0,161,0.0,0.0,0.0,0.0,0.0,0.0
pages-41-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1310,1540,0.1537,0.5221,0.1537,0.1537,0.5221,0.5221
pages-42-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2477,3006,0.0671,0.467,0.0671,0.0671,0.467,0.467
pages-42-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1926,2704,0.0514,0.2874,0.0514,0.0514,0.2874,0.2874
pages-43-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1719,2821,0.07,0.2899,0.07,0.07,0.2899,0.2899
pages-43-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1481,1636,0.2509,0.5759,0.2509,0.2509,0.5759,0.5759
pages-44-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1658,2508,0.0658,0.3185,0.0658,0.0658,0.3185,0.3185
pages-44-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1216,1422,0.1994,0.5021,0.1994,0.1994,0.5021,0.5021
pages-45-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2088,2492,0.0393,0.5265,0.0393,0.0393,0.5265,0.5265
pages-45-b,MATCH,,14,14,1.0,1.0,1.0,1.0,1.0,1.0
pages-46-a,BLANK,,0,73,0.0,0.0,0.0,0.0,0.0,0.0
pages-46-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1161,1290,0.1958,0.7039,0.1958,0.1958,0.7039,0.7039
pages-47-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1538,2436,0.0332,0.3716,0.0332,0.0332,0.3716,0.3716
pages-47-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1331,2709,0.0248,0.2275,0.0248,0.0248,0.2275,0.2275
pages-48-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2556,4265,0.2073,0.3491,0.2073,0.2073,0.3491,0.3491
pages-48-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2316,3437,0.0789,0.3949,0.0789,0.0789,0.3949,0.3949
pages-49-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1953,3216,0.3355,0.3598,0.3355,0.3355,0.3598,0.3598
pages-49-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2509,3348,0.1957,0.3843,0.1957,0.1957,0.3843,0.3843
pages-50-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2380,4296,0.2457,0.3479,0.2457,0.2457,0.3479,0.3479
pages-50-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1366,3147,0.1077,0.2734,0.1077,0.1077,0.2734,0.2734
pages-51-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2350,3684,0.1326,0.358,0.1326,0.1326,0.358,0.358
pages-51-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1950,3044,0.147,0.3467,0.147,0.147,0.3467,0.3467
pages-52-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2642,3828,0.2498,0.3697,0.2498,0.2498,0.3697,0.3697
pages-52-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2990,3444,0.2381,0.4844,0.2381,0.2381,0.4844,0.4844
pages-53-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1872,2684,0.1835,0.4469,0.1835,0.1835,0.4469,0.4469
pages-53-b,MISSING,docling_easyocr_preprocessed,0,58,0.0,0.0,0.0,0.0,0.0,0.0
pages-54-a,MISSING,docling_easyocr_preprocessed,0,82,0.0,0.0,0.0,0.0,0.0,0.0
pages-54-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1974,2983,0.3022,0.3947,0.3022,0.3022,0.3947,0.3947
pages-55-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1759,2929,0.099,0.4076,0.099,0.099,0.4076,0.4076
pages-55-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2809,3723,0.2768,0.4479,0.2768,0.2768,0.4479,0.4479
pages-56-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1760,2355,0.0258,0.4103,0.0258,0.0258,0.4103,0.4103
pages-56-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2312,4061,0.065,0.3004,0.065,0.065,0.3004,0.3004
pages-57-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,1891,3458,0.1638,0.2831,0.1638,0.1638,0.2831,0.2831
pages-57-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2031,2951,0.1999,0.4125,0.1999,0.1999,0.4125,0.4125
pages-58-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2016,3079,0.1759,0.3649,0.1759,0.1759,0.3649,0.3649
pages-58-b,BLANK,,0,200,0.0,0.0,0.0,0.0,0.0,0.0
pages-59-a,MISSING,docling_easyocr_preprocessed,0,75,0.0,0.0,0.0,0.0,0.0,0.0
pages-59-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2520,3782,0.2809,0.3465,0.2809,0.2809,0.3465,0.3465
pages-60-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3116,3781,0.165,0.5266,0.165,0.165,0.5266,0.5266
pages-60-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3123,3888,0.3078,0.4803,0.3078,0.3078,0.4803,0.4803
pages-61-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2879,3937,0.0918,0.3913,0.0918,0.0918,0.3913,0.3913
pages-61-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2419,3601,0.3229,0.3158,0.3229,0.3229,0.3158,0.3158
pages-62-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2341,4085,0.2132,0.33,0.2132,0.2132,0.33,0.33
pages-62-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2262,3962,0.2127,0.3789,0.2127,0.2127,0.3789,0.3789
pages-63-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2096,3938,0.2814,0.3033,0.2814,0.2814,0.3033,0.3033
pages-63-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2458,4113,0.2082,0.3284,0.2082,0.2082,0.3284,0.3284
pages-64-a,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,3075,4057,0.1506,0.4268,0.1506,0.1506,0.4268,0.4268
pages-64-b,MISMATCH,docling_easyocr_preprocessed;docling_qwen3-vlm-4B_preprocessed,2372,85647,0.0083,0.2508,0.0083,0.0083,0.2508,0.2508
